"ideo","pid","indiv_hwSuccess","indiv_failsame","indiv_willwork","egal_ensureEO","egal_probnoequal","egal_lessproblem","ofr_divineplan","ofr_lessable","sr_generations","sr_realchange","sr_tryhard","sr_workway","sr_welfare","sr_deserveless","sr_complaint","sr_crspeed"
0.5,0.666666666666667,1,2,4,1,2,1,2,2,4,5,2,2,3,4,4,5
0.5,1,NA,NA,NA,1,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,0.616666666666667,NA,NA,NA,1,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0,1.875,NA,NA,NA,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0.95,1.50833333333333,NA,NA,NA,1,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0.5,0.683333333333333,4,4,4,4,3,4,2,1,5,5,5,1,5,5,5,5
1.26666666666667,0.666666666666667,5,5,5,1,4,2,4,1,2,3,4,3,4,2,4,3
0.875,1,NA,NA,NA,2,4,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0.575,0.591666666666667,NA,NA,NA,1,4,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0.166666666666667,0,NA,NA,NA,1,3,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0.833333333333333,1.575,2,2,4,1,1,1,4,2,2,3,2,3,2,4,2,3
0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0.55,1.40833333333333,2,3,5,3,5,1,4,3,1,5,5,5,5,5,5,3
0.55,0.666666666666667,NA,NA,NA,1,4,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1.55833333333333,1.48333333333333,4,4,4,3,4,5,2,2,2,3,4,4,3,4,4,3
1.15833333333333,1.65,NA,NA,NA,1,4,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0.466666666666667,0.333333333333333,1,1,5,2,1,2,1,4,1,NA,1,5,2,1,2,3
1.33333333333333,1.38333333333333,2,2,5,2,4,2,4,3,2,1,4,5,3,NA,4,5
0.833333333333333,1,4,2,4,2,4,2,NA,3,4,3,4,5,4,NA,2,5
1.55833333333333,0.741666666666667,NA,NA,NA,1,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1.38333333333333,1.53333333333333,NA,NA,NA,2,4,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0.708333333333333,0.375,NA,NA,NA,1,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0.7,1.05,2,4,4,2,1,2,4,4,2,3,4,4,4,4,2,3
0.166666666666667,1,1,1,1,1,1,1,2,1,2,1,2,1,1,2,2,3
0,1.43333333333333,1,1,1,1,3,4,5,1,1,5,1,1,1,5,5,3
1.38333333333333,0.591666666666667,NA,NA,NA,2,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
