"econ_FTunions_92","econ_FTwelfare_92","econ_FTpoor_92","econ_markets_92","econ_lessgovt_92","econ_biggovt_92","econ_spend_enviro_92","econ_spend_aids_92","econ_spend_socsec_92","econ_spend_fstamps_92","econ_spend_schools_92","econ_spend_homeless_92","econ_spend_chldcare_92","econ_spend_blacks_92","econ_spend_welfare_92","econ_spend_collstudents_92","econ_spend_unemp_92","econ_spend_poor_92","econ_spend_cities_92","econ_eqlopp_92","econ_eqltoofar_92","econ_eqlchance_92","econ_worryless_92","econ_uneqlchance_92","econ_fewerproblms_92","econ_place_living_92","econ_govtprovide_92","econ_place_services_92","econ_place_insure_92","econ_place_cities_92","econ_parentleave_92","econ_expmedicare_92","econ_FTunions_96","econ_FTwelfare_96","econ_FTpoor_96","econ_markets_96","econ_lessgovt_96","econ_biggovt_96","econ_spend_enviro_96","econ_spend_aids_96","econ_spend_socsec_96","econ_spend_fstamps_96","econ_spend_schools_96","econ_spend_homeless_96","econ_spend_chldcare_96","econ_spend_welfare_96","econ_spend_collstudents_96","econ_spend_poor_96","econ_eqlopp_96","econ_eqltoofar_96","econ_eqlchance_96","econ_worryless_96","econ_uneqlchance_96","econ_fewerproblms_96","econ_place_living_96","econ_deficitspend_96","econ_cutspend_96","econ_cuttax_96","econ_cutspenddefic_96","econ_cuttaxsize_96","econ_childwelf_96","econ_welf2yrlim_96","econ_place_incgap_96","econ_place_services_96","econ_place_insure_96","econ_place_enviro_96","moral_FTwmnsmvmnt_92","moral_childobey_92","moral_schoolpray_92","moral_abortion_92","moral_parentconsent_92","moral_govtfundabort_92","moral_lifestyles_92","moral_worldchange_92","moral_family_92","moral_tolerate_92","moral_wifenotifyabort_92","moral_wmnequalrole_92","moral_FTgay_92","moral_FTxtnfunds_92","moral_gayjobdisc_92","moral_gaymilitary_92","moral_gayadopt_92","moral_extramarital_92","moral_FTwmnsmvmnt_96","moral_FTxtncoalition_96","moral_schoolpray_96","moral_abortion_96","moral_lifestyles_96","moral_worldchange_96","moral_family_96","moral_tolerate_96","moral_wmnequalrole_96","moral_FTgay_96","moral_FTxtnfunds_96","moral_gayjobdisc_96","moral_gaymilitary_96","moral_momhome_96","pid7_92","ft_reps_92","ft_dems_92","pid7_96","ft_reps_96","ft_dems_96","ideo7_92","ft_cons_92","ft_libs_92","ideo7_96","ft_cons_96","ft_libs_96","educ_low_92","educ_high_92","int_polknow_low","int_polknow_hi","econ92","econ96","moral92","moral96","PID92","PID96","IDEO92","IDEO96","econ_educLow_92","econ_educLow_96","moral_educLow_92","moral_educLow_96","econ_educHigh_92","econ_educHigh_96","moral_educHigh_92","moral_educHigh_96","econ_polKnowLow_92","econ_polKnowLow_96","moral_polKnowLow_92","moral_polKnowLow_96","econ_polKnowHigh_92","econ_polKnowHigh_96","moral_polKnowHigh_92","moral_polKnowHigh_96"
40,85,30,1,NA,1,2,2,2,2,1,2,3,3,3,1,3,2,2,1,5,4,5,5,1,6,1,5,7,4,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,85,1,2,3,5,5,5,5,5,3,1,5,100,100,5,5,5,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,85,30,NA,NA,NA,5,85,50,NA,NA,NA,1,0,NA,NA,NA,NA,1.8665395052283,NA,1.59487752095769,NA,0.604200978786308,NA,NA,NA,1.77059777036907,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
50,50,50,1,1,1,2,2,2,3,2,2,2,2,3,2,2,2,2,2,4,4,5,4,4,6,0,4,6,3,1,5,94,40,40,1,1,1,2,1,2,3,2,1,2,3,3,3,2,4,2,4,4,2,7,1,1,1,1,NA,5,4,5,3,7,6,70,1,2,2,5,5,5,3,4,3,5,1,NA,40,5,NA,5,3,94,NA,4,1,4,2,5,1,6,95,NA,4,NA,4,5,85,50,5,80,0,5,60,40,6,75,4,0,0,NA,NA,1.78511364025944,1.15864177600082,NA,NA,0.595871322212206,0.644314735133036,0.554482330216348,1.24232472221313,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
40,40,15,0,0,1,2,1,1,2,1,1,1,2,3,1,2,1,2,1,4,4,5,2,2,4,0,4,2,4,1,2,35,35,25,0,0,1,2,2,1,3,1,2,1,2,1,2,2,5,4,5,4,2,6,1,0,1,0,4,2,4,4,3,5,5,60,1,2,4,5,5,5,5,5,5,5,6,100,100,5,5,5,5,25,90,2,4,5,5,5,5,5,100,95,5,5,4,7,70,40,7,70,40,6,70,30,6,75,60,1,0,NA,NA,-0.223052386687944,0.0520395136077482,2.11666423259417,1.9312723393362,1.58982849997437,1.57353842659115,1.26463021021778,1.23099985957685,-0.0764553123606641,0.177097950366913,2.04378571177007,1.76238931261217,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
30,40,15,1,0,0,1,1,1,2,1,1,1,1,2,1,1,1,2,1,2,1,2,1,1,1,0,1,1,4,0,1,15,30,15,0,0,0,1,1,1,2,1,1,1,2,1,1,1,5,2,5,4,2,6,0,1,0,1,NA,5,1,4,3,5,5,15,1,2,4,5,2,3,2,4,2,5,4,NA,50,1,1,4,5,30,NA,1,2,4,2,4,4,6,100,70,5,5,4,1,30,100,3,70,85,3,60,70,3,70,85,1,0,NA,NA,-1.44284131676318,-0.934882594764898,NA,1.10986092904894,-1.41413554165511,-0.321856713866372,-0.834796966697854,-1.00204713202578,-1.40083400801258,-0.912839332621439,NA,1.03284848233259,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
30,70,60,0,0,0,2,2,1,2,2,2,2,3,2,2,2,1,2,4,NA,NA,NA,NA,NA,4,1,4,4,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40,1,1,4,1,5,NA,1,5,5,4,NA,NA,NA,2,5,5,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,50,85,NA,NA,NA,4,NA,NA,NA,NA,NA,1,0,1,0,NA,NA,NA,NA,-0.909937480105384,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
50,85,60,0,0,0,1,1,1,2,1,1,2,3,3,2,3,2,2,1,2,2,2,2,2,6,1,1,4,3,1,2,50,50,40,0,0,0,1,2,1,3,1,3,2,2,2,2,2,3,2,4,2,2,6,1,0,1,1,NA,5,4,5,4,6,3,30,0,2,1,4,2,1,1,4,2,5,1,60,50,2,5,1,5,40,70,2,2,4,2,3,3,1,50,60,2,5,3,5,85,50,6,60,50,3,50,50,3,60,50,0,1,NA,NA,-0.294435679616233,0.160785939736865,-0.517472816999611,-0.128238292960821,0.595871322212206,1.0979864366368,-0.784616779987422,-0.996855807336293,NA,NA,NA,NA,-0.545766361937585,-0.159796641434845,-0.332698272198127,-0.00134770784512617,NA,NA,NA,NA,NA,NA,NA,NA
20,35,20,0,0,0,1,2,1,NA,1,1,1,1,NA,1,1,1,1,1,1,1,5,1,1,4,0,1,1,4,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,2,1,5,1,5,1,5,1,1,1,50,75,1,1,5,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,50,70,NA,NA,NA,5,80,80,NA,NA,NA,1,0,1,0,NA,NA,-0.829117275661463,NA,-0.409212141252173,NA,0.454121956795484,NA,NA,NA,-1.18222862385949,NA,NA,NA,NA,NA,NA,NA,-1.07906092887589,NA,NA,NA,NA,NA
50,40,0,0,0,1,1,1,2,2,2,1,2,2,3,2,2,1,2,1,3,4,1,1,4,5,0,4,3,3,1,1,50,40,0,0,0,0,1,1,1,2,1,1,3,3,2,1,1,2,2,5,2,2,4,1,0,1,0,3,1,1,6,5,4,4,15,0,1,1,1,1,4,2,4,2,1,1,30,30,5,1,4,5,15,15,1,1,4,4,2,4,1,30,30,5,2,4,4,15,70,3,0,100,2,70,50,3,40,85,1,0,NA,NA,0.0170387161246303,-0.494984252005299,-0.772212353538149,-0.63834178470796,0.0817692144407371,-0.34002704587723,-1.33875926826458,-1.00770727540035,0.280743614617733,-0.407761191777122,-1.07934214275556,-0.826255793360366,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
60,0,0,0,0,0,1,2,3,2,1,1,1,2,1,1,2,1,1,1,1,1,1,1,1,5,0,2,1,1,0,4,40,0,0,0,0,0,1,2,3,2,1,1,1,2,1,2,1,1,2,1,4,2,5,1,0,0,0,1,5,2,2,3,3,3,0,0,1,1,1,1,5,2,3,1,1,1,0,30,1,1,1,5,0,15,1,1,4,4,3,1,1,0,15,1,1,3,1,40,85,1,60,85,1,60,70,2,30,100,0,0,0,1,-1.31892201494858,-0.89126231749219,-1.63326554622054,-1.76606505306047,-1.40873246186544,-1.26566726429155,-2.09269942710253,-1.75497673258261,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.31777157303853,-1.11618078172383,-1.24031879997839,-1.40850284736437
50,40,15,0,0,1,2,1,1,3,1,1,2,2,2,2,3,2,2,1,3,2,2,3,2,4,1,1,1,7,1,5,30,60,15,1,1,1,2,2,2,3,2,1,2,3,2,1,2,2,3,2,2,4,2,1,0,1,0,NA,4,2,6,4,2,2,15,0,2,1,4,2,5,4,5,4,4,1,50,60,NA,2,5,4,0,50,1,1,4,4,4,2,1,60,50,5,1,1,2,60,70,3,40,60,3,70,70,4,60,40,0,0,NA,NA,-0.420656504600653,0.230916725552742,NA,-0.46256128529498,-0.904534400315721,-0.321376103742739,-0.797392595735266,-0.252484213061892,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
