"akker1","akker2","akker3","akker4","akker5","akker6","antiel18","antiel21","antiel23","cmq1","cmq2","cmq3","cmq4","cmq5","country","cses1","cses2","cses3","cses4","cses5","es1","es2","es3","es4","gewill17","gewill3","manich1","manich13","manich14","manich15","nccr_ant1","nccr_ant2","nccr_ant3","nccr_hom1","nccr_hom2","nccr_hom3","nccr_sov1","nccr_sov2","ow_ae1","ow_ae2","ow_ae3","ow_ae4","ow_ae5..","ow_me1","ow_me2","ow_me3","ow_na1","ow_na2","ow_na3","pid","rwpop8","simple8","stanley1","stanley2","stanley3","stanley4","stanley5","stanley6","stanley7","stanley8","t_gov","t_parl","t_party"
5,4,3,4,5,3,7,7,6,9,10,7,5,7,2,5,1,5,1,5,2,4,5,2,6,7,4,6,4,4,4,3,3,3,2,4,4,4,4,4,4,4,2,2,2,4,1,1,1,15,2,2,4,3,3,4,3,2,1,3,5,5,5
4,4,4,4,4,3,7,6,7,5,9,5,5,5,2,4,1,4,3,4,4,3,4,3,4,4,7,4,4,4,3,4,3,3,5,3,4,3,4,3,4,3,2,5,3,4,2,2,7,15,6,5,4,4,3,3,3,4,3,5,1,3,3
5,5,3,3,5,3,3,7,4,8,3,2,7,3,2,5,2,5,4,4,2,5,3,3,6,7,4,1,3,6,4,3,4,2,2,1,5,5,4,4,5,3,2,4,3,4,2,1,7,15,6,4,3,3,5,5,3,4,1,3,3,3,5
5,5,4,3,5,4,6,7,7,7,9,2,6,8,2,4,2,5,2,4,2,4,4,1,7,7,4,4,5,2,3,3,4,3,3,2,5,4,4,4,3,2,2,3,4,3,NA,1,4,4,1,6,2,4,3,3,4,2,1,3,3,5,5
5,4,4,3,3,3,6,7,5,10,10,7,8,9,2,4,1,5,5,4,3,5,4,4,7,6,4,4,5,5,5,4,4,2,3,3,4,3,2,4,3,3,2,3,3,2,1,1,7,14,2,5,5,5,3,2,4,4,1,3,2,2,1
NA,NA,NA,NA,NA,NA,7,7,7,9,10,6,4,2,2,NA,NA,NA,NA,NA,4,5,5,1,7,7,4,7,4,2,NA,NA,NA,NA,NA,NA,NA,NA,5,4,3,4,2,4,2,4,1,2,NA,15,1,1,3,NA,2,3,3,1,1,5,1,1,1
5,4,4,4,5,4,6,6,6,6,8,5,3,3,2,5,2,3,3,5,3,5,5,3,7,7,4,5,4,4,4,3,4,3,4,5,4,5,4,2,4,3,2,4,2,3,2,2,7,15,4,2,3,5,3,5,5,1,2,2,3,2,2
4,3,3,3,3,3,5,7,6,10,6,9,6,6,2,4,4,4,4,4,NA,NA,NA,NA,7,7,7,6,5,3,3,4,4,4,3,4,4,4,NA,NA,NA,NA,2,NA,NA,NA,1,1,4,9,3,2,NA,NA,NA,NA,NA,NA,NA,NA,3,5,4
4,4,4,3,5,3,4,7,6,8,7,4,5,4,2,4,1,4,3,4,3,5,3,2,5,6,4,5,3,2,4,4,3,3,3,2,5,5,3,4,3,3,1,2,3,4,1,2,5,15,3,3,3,3,2,4,4,3,1,3,4,5,5
5,5,5,5,5,3,7,7,7,9,10,5,5,7,2,5,1,1,3,5,4,5,5,3,7,7,4,4,4,4,5,3,2,1,1,2,5,3,2,4,2,2,2,4,2,4,2,1,1,15,1,4,3,3,2,1,3,1,1,1,5,5,5
