"year","st","region","poptotal","pctblack","pctwhite","pctlatinx","exp_education","exp_highways","exp_police_protection","foodstamp_rep","rarrests","ekind","fouryear_tuition","dtrans","dsocgam"
2016,"AL",1,4863300,26.6,65.7,4.1,11376230,1653128,170514,850504,0.025788,0,10040.35056,0,1
2016,"AK",2,741894,2.9,61,6.9,2864158,1290503,140154,82326,0.03501139,0,7130.171099,0,1
2016,"AZ",2,6931071,4.1,55.3,30.9,12805986,2194035,247231,960105,0.05023004,0,10956.94163,0,1
2016,"AR",1,2988248,15.5,72.8,7.2,8449234,1443384,119889,426069,0.02491866,2,8246.689158,0,0
2016,"CA",2,39250017,5.5,37.5,38.9,93606370,10923189,1920894,4340042,0.03877964,0,9346.006397,1,1
2016,"CO",2,5540545,4,68.5,21.3,11792772,1863367,239939,475690,0.05515192,0,10257.19093,0,1
2016,"CT",4,3576452,9.9,67.4,15.7,8528978,1413880,241020,431597,0.01539591,1,11733.98608,0,1
2016,"DE",1,952065,21.4,62.7,9.2,3082060,603206,132830,147559,0.04093308,2,11934.50455,0,1
2016,"DC",1,681170,46.4,36.3,10.9,NA,NA,NA,134625,NA,NA,7844,NA,NA
2016,"FL",1,20612439,15.3,54.7,24.9,26633264,8007319,566008,3454530,0.03091752,0,6355.92996,0,0.5
2016,"GA",1,10310371,31.3,53.2,9.3,18583348,2772343,436293,1733473,0.03396018,0,8453.230124,0,0
2016,"HI",2,1428557,1.7,22.1,10.4,3386370,456996,38801,176729,0.02982571,1,10671.47084,0,1
2016,"ID",2,1683140,0.6,82.3,12.3,3042233,682385,64370,185303,0.03097565,0,7009.763363,0,0
2016,"IL",3,12801539,14,61.6,17,17794527,6745686,396860,1914393,0.0570127,0,13277.72823,0,0
2016,"IN",3,6633053,9.2,79.5,6.8,15894974,2543104,234088,741610,0.04253008,0,9200.740109,0,0
2016,"IA",3,3134693,3.5,86.4,5.7,7524562,2178645,102930,380705,0.05211658,0,8271.027889,0,0.5
2016,"KS",3,2907289,5.5,76.2,11.6,7246839,1336182,100614,253833,0.05482289,0,8917.436683,0,0
2016,"KY",1,4436974,8.1,84.9,3.4,10371830,2414369,248732,666264,0.00550347,0,9952.746604,0,1
2016,"LA",1,4681666,32.1,58.8,4.9,9563548,1612860,330826,927168,0.0435644,2,8899.63303,0,1
2016,"ME",4,1331479,1.3,93.4,1.6,2210624,715805,96243,189245,0.049771,0,9687.299414,0,1
2016,"MD",1,6016447,29.3,51.4,9.8,12923522,2556540,615231,744343,0.05004126,2,9366.36794,0,0
2016,"MA",4,6811779,6.7,72.4,11.4,13604676,3005878,905695,779192,0.02989104,0,12275.50488,0,0
2016,"MI",3,9928300,13.6,75.3,4.9,25725807,2743085,487890,1473614,0.05858712,0,12463.68378,0,1
2016,"MN",3,5519952,5.9,80.5,5.2,15131545,3195546,446435,478783,0.07613215,0,10952.12947,0,1
2016,"MS",1,2988726,37.9,56.8,2.9,6515704,1336544,138506,582658,0.02782881,0,7408.692349,0,0
2016,"MO",3,6093000,11.5,79.6,4,10023638,1375206,230785,810690,0.04083909,0,8631.660473,0,0
2016,"MT",2,1042520,0.3,86.4,3.6,1900782,645768,38763,116626,0.06787148,0,6409.007627,0,1
2016,"NE",3,1907116,4.6,79.7,10.6,3993210,905694,94821,175851,0.09170375,0,7882.933776,0,0
2016,"NV",2,2940058,8.5,49.8,28.5,4885614,717606,84059,439782,0.06708057,1,6906.843158,0,1
2016,"NH",4,1334795,1.2,90.7,3.5,1535811,477474,62254,98464,0.06397868,0,15650.18283,0,0
2016,"NJ",4,8944469,12.6,55.5,20,18627835,3310280,706311,879987,0.02956417,0,13560.16397,0,1
2016,"NJ",4,8944469,12.6,55.5,20,18627835,3310280,706311,879987,0.02956417,0,13560.16397,0,1
2016,"NM",2,2081015,1.8,37.8,48.5,6047870,715713,157414,471247,0.03225419,1,6617.738624,0,1
2016,"NY",4,19745289,14.3,55.5,19,47037290,5270887,982307,2968227,0.02112082,0,7707.235063,0,1
2016,"NC",1,10146788,21.1,63.5,9.2,20826728,3883907,725037,1568387,0.02763859,0,7202.917905,0,0
2016,"ND",3,757953,2.5,85.1,3.5,2472461,1316191,27376,54252,0.09305005,0,7884.448684,0,0.5
2016,"OH",3,11614373,12.2,79.4,3.6,22907313,4076963,363131,1608633,0.05235246,1,10265.8208,0,1
2016,"OK",1,3923561,7.2,66.2,10.3,8488724,2144220,232745,612869,0.04228333,2,8025.673205,0,0
2016,"OR",2,4093465,1.8,76.2,12.8,9254534,1170688,201686,734864,0.05168591,0,9692.592014,0,1
2016,"PA",4,12784227,10.6,76.9,7,25179057,8685049,1045151,1863836,0.06205736,0,13883.50792,0,0
2016,"RI",4,1056426,5.5,72.8,14.9,2164098,315809,81380,171055,0.03506953,2,11407.10383,0,0
2016,"SC",1,4961119,26.8,63.7,5.5,9558397,1664188,184010,805012,0.04949699,2,12191.62084,0,1
2016,"SD",3,865454,1.7,82.4,3.7,1464173,726472,46310,95983,0.05605126,1,8137.579091,0,0
2016,"TN",1,6651194,16.6,74.1,5.2,10267929,1552187,260921,1113231,0.02676331,2,9518.347016,0,0
2016,"TX",1,27862596,11.7,42.5,39.1,56423563,9522307,1038324,3768472,0.03716126,0,9566.007739,0,1
2016,"UT",2,3051217,1,78.7,13.8,8600936,835995,151844,219820,0.04911085,0,6581.410154,0,0
