"ft_dem","ft_rep","ft_lib","ft_con","ft_bigbiz","ft_unions","ft_xtnfund","ft_feminists","ft_gays","ft_trans","ft_muslims","ft_christians","ft_jews","ft_white","ft_black","ft_latino","ft_asian","ft_police","ft_blm","ft_maga","ft_nra","ft_rurams","ft_illegimmig","ft_dempres_pre","ft_reppres_pre","ft_biden_pre","ft_rfkJR_pre"
0,85,40,70,70,30,85,30,85,60,85,85,85,70,60,85,85,85,0,70,60,100,0,0,100,0,50
10,10,0,0,50,50,0,50,50,50,70,50,70,50,50,50,50,50,50,50,50,50,30,50,50,50,55
75,0,80,0,0,80,0,100,100,100,100,15,100,40,90,90,90,15,100,0,0,50,90,90,0,70,0
70,85,50,70,70,70,50,60,40,50,40,50,40,50,50,60,50,85,30,50,70,70,30,50,70,0,70
5,10,0,0,0,50,0,0,0,0,0,10,0,50,50,50,50,70,0,0,60,90,0,5,60,10,30
85,15,60,40,60,60,NA,60,70,70,50,85,70,85,NA,NA,50,85,60,0,30,70,40,85,0,85,30
0,0,60,50,50,70,50,50,60,50,50,60,50,50,50,50,50,70,50,85,85,100,NA,0,0,0,100
50,50,NA,NA,50,50,50,50,50,50,50,100,50,100,0,0,0,100,NA,NA,50,50,0,100,0,100,50
50,50,0,0,0,50,0,0,50,0,0,50,0,50,NA,50,50,50,0,0,75,50,50,30,0,0,70
0,0,50,50,50,50,50,0,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,0,0,0,0
70,40,100,40,50,70,50,85,100,50,0,100,50,50,50,50,50,100,0,0,0,100,50,85,0,40,50
0,85,0,60,0,0,0,0,50,0,0,0,0,50,50,50,50,50,0,100,50,50,50,0,100,0,0
60,0,60,40,30,70,0,60,50,50,40,15,40,45,50,50,60,0,50,0,0,50,50,75,0,85,60
0,100,15,70,50,50,50,40,50,50,40,100,85,50,50,50,40,90,0,100,100,100,0,0,100,0,70
60,30,60,50,30,70,30,60,85,50,70,40,70,60,60,60,100,50,50,0,15,40,60,70,0,70,30
85,30,60,35,40,50,15,65,85,85,50,50,85,70,70,70,65,85,70,10,25,60,60,85,0,85,15
60,40,70,30,30,60,15,40,50,50,50,85,50,NA,50,50,85,70,60,30,0,50,15,70,30,85,15
0,90,25,85,50,40,85,50,70,15,50,85,85,75,50,50,50,90,25,100,85,100,0,0,100,0,50
40,5,40,15,0,75,0,50,50,50,50,35,50,50,50,50,50,10,30,0,0,45,50,65,0,40,15
65,10,60,45,40,70,40,60,50,50,50,50,50,50,50,60,55,65,50,10,40,50,50,85,15,75,10
30,90,50,100,60,85,100,50,30,30,0,100,100,85,85,75,85,85,85,85,100,85,0,30,85,60,70
15,60,40,45,35,55,50,60,60,50,60,55,60,70,70,70,70,70,40,40,50,75,15,30,65,10,55
55,10,50,40,45,85,40,70,50,50,50,50,50,50,NA,50,50,40,70,10,10,50,40,75,0,90,10
65,45,50,NA,50,50,NA,85,85,90,85,50,85,75,75,75,75,35,85,50,50,50,70,75,0,65,50
0,0,0,0,50,50,0,50,50,50,50,50,50,50,50,50,50,0,0,50,50,50,30,0,0,0,0
85,15,70,15,15,60,0,60,70,70,40,30,70,85,85,85,40,40,60,0,0,60,15,85,0,100,30
0,85,0,100,60,40,60,30,50,30,15,85,100,70,70,70,70,85,0,100,100,100,NA,0,100,0,60
70,30,50,50,20,70,50,50,50,50,50,50,50,50,50,50,50,70,50,0,10,90,40,85,0,80,30
85,40,60,50,75,60,70,100,40,70,70,100,85,70,100,50,50,60,70,50,15,50,50,70,0,50,60
60,10,50,20,0,100,0,100,100,100,100,40,100,100,100,100,100,0,100,0,10,80,100,70,0,60,0
85,0,85,15,15,85,0,85,85,85,70,15,70,70,85,85,NA,15,100,0,0,50,85,100,0,100,50
0,50,30,85,60,60,70,50,50,50,50,70,100,85,85,85,85,70,0,85,70,70,30,0,70,0,85
15,70,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,70,15,85
0,30,0,95,80,0,50,0,50,50,50,51,50,50,50,75,50,99,0,100,65,100,25,0,95,0,30
15,85,30,70,100,0,40,50,50,50,50,50,50,50,50,50,NA,75,50,70,100,85,0,0,100,0,50
0,100,10,85,80,10,50,10,50,10,50,50,50,50,50,50,50,85,10,100,100,100,1,0,100,0,0
60,20,50,35,50,50,35,55,55,55,40,45,45,60,45,65,60,60,50,15,25,40,60,80,0,70,10
