"manners","polite","respect","discip","obedience","behaved","orderly","loyal","white","black","latino","race","fem","college","relig_AthNoneDK","south","inc_40plus","age","religiosity","relig_cath","relig_prot","relig_evang","rr_sc","inc","inc_missing","educ_3cat","auth4","auth8","pid3","ideo3","immig_sc","gay_sc","cjs_pun_sc","ft_trump_sc","ft_rep_sc","ft_dem_sc","ResponseId"
0,0,0,0,1,0,1,1,1,0,0,"white",0,0,0,1,1,0.138888888888889,0.75,0,0,0,0.5,0.777777777777778,0,0,0.25,0.375,1,1,0.666666666666667,0.291666666666667,0.416666666666667,0.67,0.76,0.68,"R_TiPuMcEfMVeXXkR"
1,1,1,1,0,1,0,0,1,0,0,"white",0,0,1,0,1,0.236111111111111,0,0,0,0,0.5,0.444444444444444,0,0,0.75,0.625,0,0,0,0.875,0.166666666666667,0.24,0.11,0.19,"R_3jfa84M3rsDGfOI"
0,1,0,1,1,0,0,0,1,0,0,"white",1,1,1,1,1,0.0972222222222222,0,0,0,0,0.583333333333333,0.444444444444444,0,2,0.25,0.375,-1,-1,0.333333333333333,0.75,0.416666666666667,0.04,0.09,0.43,"R_1OBldxgk7URRPFF"
1,0,0,0,0,1,0,0,1,0,0,"white",0,0,0,0,1,0.569444444444444,0.25,0,1,0,1,0.555555555555556,0,1,0.5,0.25,1,1,0.833333333333333,0.583333333333333,0.75,0.95,0.93,0.01,"R_37OoHvWwLn3xkBj"
0,0,1,1,0,0,0,0,0,1,0,"black",1,1,0,1,NA,0.375,0.75,0,1,0,0.25,0,1,2,0.25,0.25,-1,-1,0.0833333333333333,0.5,0.416666666666667,0.1,0.07,0.65,"R_2TOeJd2fXyG5ZKu"
1,1,1,0,0,0,0,0,1,0,0,"white",1,1,1,1,1,0.125,0.25,0,0,0,0.5,0.444444444444444,0,2,0.5,0.375,-1,-1,0.333333333333333,0,0.583333333333333,0.3,0.15,0.71,"R_BKXiO62V7opg1gJ"
0,1,0,0,0,0,0,0,1,0,0,"white",1,1,0,0,1,0.277777777777778,0.25,1,0,0,0.75,0.722222222222222,0,2,0,0.125,-1,0,0.666666666666667,0,0.875,0.51,0.3,0.57,"R_3ekTrK5LqlTy0F0"
0,0,1,0,0,0,0,0,1,0,0,"white",0,1,0,0,0,0.541666666666667,0,0,0,0,0.416666666666667,0,0,2,0.25,0.125,0,-1,0.333333333333333,0.291666666666667,0.708333333333333,0.03,0.03,0.24,"R_3lzarAzgoecN6EZ"
0,0,0,1,0,1,0,0,1,0,0,"white",1,1,0,0,1,0.111111111111111,0.25,1,0,0,0.416666666666667,0.444444444444444,0,2,0.25,0.25,-1,1,0.75,0,1,0.18,0,0.74,"R_3gMkFmP0Y8KzMwc"
1,1,1,0,0,0,1,1,0,0,1,"latino",1,0,1,0,1,0.0277777777777778,0.25,0,0,0,0.166666666666667,0.444444444444444,0,0,0.5,0.625,0,0,0.333333333333333,0.416666666666667,0.583333333333333,0.03,0.03,0.03,"R_pQWJ6q3WclNPL7r"
1,1,1,0,1,0,1,1,1,0,0,"white",1,0,0,0,1,0.333333333333333,0,0,1,0,0.833333333333333,0.444444444444444,0,0,0.75,0.75,0,1,1,0.416666666666667,0.875,0.63,0.84,0.14,"R_DUaLfA768pzdZjH"
0,0,0,0,0,0,0,0,1,0,0,"white",0,0,1,0,1,0.638888888888889,0,0,0,0,0.666666666666667,0.5,0,1,0,0,0,0,0.5,0.125,1,0.04,0.03,0.83,"R_2aX2lWvuNXmY780"
1,1,0,0,0,0,0,0,1,0,0,"white",1,0,1,1,1,0.166666666666667,0.25,0,0,0,0.666666666666667,0.444444444444444,0,1,0.25,0.25,1,0,0.666666666666667,0.125,0.583333333333333,0.6,0.4,0,"R_3G2platqSTYwWWN"
1,1,1,1,1,1,0,1,1,0,0,"white",0,1,0,0,1,0.347222222222222,0,1,0,0,0.75,0.722222222222222,0,2,1,0.875,1,1,0.916666666666667,0.375,0.708333333333333,0.8,0.96,0.17,"R_1KqWIxZLL0HAirt"
0,1,0,0,0,0,0,0,1,0,0,"white",1,1,0,0,NA,0.722222222222222,0.75,0,0,0,0.416666666666667,0,1,2,0,0.125,-1,0,0.0833333333333333,0.125,0.708333333333333,0.02,0.03,0.77,"R_3gMk3RXdOTPSLbJ"
