"ofr_divineplan","ofr_lessable","sr_tryhard","sr_generations","sr_crspeed","sr_realchange","sr_welfare","sr_deserveless","sr_complaint","sr_workway","indiv_hwSuccess","indiv_failsame","indiv_willwork","egal_ensureEO","egal_probnoequal","egal_lessproblem","aff_act","govt_aid_comb","govt_eqlopp_jobs","ideo7_sc","pid7_sc","ft_reps","ft_dems","educ4","int_polknow","age","fem"
2,2,2,4,5,5,3,4,4,2,1,2,4,1,2,1,4,5,4,NA,0.166666666666667,100,100,2,3,44,0
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,1,NA,4,5,NA,0.5,60,60,0,3,30,1
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,2,NA,5,4,0.5,0.166666666666667,40,50,1,2,50,1
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,NA,NA,1,NA,1,100,25,0,2,52,0
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,2,NA,NA,3,0.5,0.833333333333333,85,50,0,1,43,1
2,1,5,5,5,5,5,5,5,1,4,4,4,4,3,4,5,5,4,NA,0.333333333333333,40,70,1,1,47,0
4,1,4,2,3,3,4,2,4,3,5,5,5,1,4,2,4,5,3,0.666666666666667,0.166666666666667,70,70,1,3,35,1
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,4,2,NA,5,4,0.5,0.5,50,50,0,3,66,0
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,4,4,NA,NA,2,NA,0.166666666666667,70,85,3,4,82,1
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,3,1,NA,NA,5,0.166666666666667,0,NA,30,0,3,65,0
4,2,2,2,3,3,2,4,2,3,2,2,4,1,1,1,5,5,2,0.833333333333333,1,85,70,1,4,68,1
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,2,1,92,1
4,3,5,1,3,5,5,5,5,5,2,3,5,3,5,1,5,4,5,NA,0.833333333333333,100,85,0,2,75,1
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,4,2,NA,3,4,NA,0.166666666666667,75,75,2,5,65,0
2,2,4,2,3,3,3,4,4,4,4,4,4,3,4,5,2,4,3,0.833333333333333,0.833333333333333,70,40,3,3,53,0
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,4,5,NA,4,5,0.833333333333333,1,100,70,1,3,61,1
1,4,1,1,3,NA,2,1,2,5,1,1,5,2,1,2,1,NA,5,0.166666666666667,0.333333333333333,40,NA,1,1,34,1
4,3,4,2,5,1,3,NA,4,5,2,2,5,2,4,2,4,NA,4,0.833333333333333,0.833333333333333,60,50,1,3,71,0
NA,3,4,4,5,3,4,NA,2,5,4,2,4,2,4,2,5,6,4,0.833333333333333,1,70,NA,0,2,68,0
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,1,NA,6,5,0.833333333333333,0.166666666666667,85,70,0,4,86,1
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,4,4,NA,7,3,0.833333333333333,0.833333333333333,90,50,0,2,75,0
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,2,NA,3,4,0.333333333333333,0,60,85,2,4,40,0
4,4,4,2,3,3,4,4,2,4,2,4,4,2,1,2,5,4,4,NA,0.5,70,60,1,3,71,1
2,1,2,2,3,1,1,2,2,1,1,1,1,1,1,1,2,2,4,0.166666666666667,0.5,85,85,1,3,26,1
5,1,1,1,3,5,1,5,5,1,1,1,1,1,3,4,1,3,2,NA,0.833333333333333,70,50,1,2,29,1
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,3,3,NA,4,4,0.833333333333333,0.166666666666667,70,85,2,3,43,1
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,3,NA,3,4,0.833333333333333,0.166666666666667,30,60,2,3,40,0
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,NA,7,5,0.833333333333333,0,70,70,0,2,67,0
2,2,2,2,3,3,3,4,4,3,4,5,5,4,3,3,2,4,4,NA,0.5,50,50,2,2,36,0
5,1,4,4,5,3,5,2,5,4,2,4,4,1,2,4,1,4,4,0.333333333333333,0,50,100,1,3,59,1
